ID,names,Excel Rows,Video Type,Captions,Video Width,Video Height,Frame Count,FPS,duration
0,S003,3,SENTENCE,This is important; I have to tell you all that the Deaf Club party has been cancelled.,320.0,240.0,141.0,30.1927194861,4.67
1,S004,4,SENTENCE,I looked around and noticed a sale; great!,320.0,240.0,134.0,30.2028549962,4.43666666667
2,S005,5,SENTENCE,My mother was born in Portland and raised there until the age of 17.,320.0,240.0,119.0,30.2286198137,3.93666666667
3,S006,6,SENTENCE,Bring the peanut butter and jelly sandwiches.,320.0,240.0,106.0,30.2568981922,3.50333333333
4,S007,7,SENTENCE,Ken prays in that church only on Sundays.,320.0,240.0,147.0,30.1848049281,4.87
5,S008,8,SENTENCE,"That woman in the thin, bright red see-through shirt is Pat's sister.",320.0,240.0,212.0,30.1136363636,7.04
6,S009,9,SENTENCE,"Joe put lettuce, tomato and carrots in the salad.",320.0,240.0,208.0,30.1158301158,6.90666666667
7,S010,10,SENTENCE,It was a boring eight hour flight from New York City to Belgium.,320.0,240.0,239.0,30.1007556675,7.94
8,S011,11,SENTENCE,Last Saturday on the island Beth watched the long sunset.,320.0,240.0,181.0,30.3097962601,5.97166666667
9,S012,12,SENTENCE,What kind of soda is that?,320.0,240.0,64.0,30.0,2.13333333333
10,S013,13,SENTENCE,The window on the right on the second floor - that's the doctor's office.,320.0,240.0,152.0,30.3696303696,5.005
11,S014,14,SENTENCE,Two hamburgers?  That's a laugh.,320.0,240.0,94.0,30.0,3.13333333333
12,S015,15,SENTENCE,"After her fifth marriage, I hope everything will be all right.",320.0,240.0,129.0,30.2225693089,4.26833333333
13,S016,16,SENTENCE,"For your information, Maryland School for the Deaf is in Frederick, not Baltimore.",320.0,240.0,150.0,30.1810865191,4.97
14,S017,17,SENTENCE,"My son, a Gallaudet University freshman, was busted and suspended.",320.0,240.0,138.0,30.1969365427,4.57
15,S018,18,SENTENCE,Cows have four stomachs.,320.0,240.0,93.0,30.30961434,3.06833333333
16,S019,19,SENTENCE,I'm hopeless at golf but my brother plays really well.,320.0,240.0,98.0,30.2936630603,3.235
17,S020,20,SENTENCE,Rumor has it that she's lonely because her boyfriend has been so heavily involved in his fraternity.,320.0,240.0,172.0,30.3261827799,5.67166666667
18,S021,21,SENTENCE,What is your favorite ice cream?,320.0,240.0,66.0,30.4381245196,2.16833333333
19,S022,22,SENTENCE,I'm seething; why did you ignore me for three weeks?,320.0,240.0,107.0,30.2544769086,3.53666666667
20,S023,23,SENTENCE,"When my son doesn’t clean the bathroom well enough, I bawl him out.",320.0,240.0,110.0,30.2474793767,3.63666666667
21,S024,24,SENTENCE,Yesterday he punched me and I kicked him back; how embarrassing!,320.0,240.0,131.0,30.2075326672,4.33666666667
22,S025,25,SENTENCE,The point is that Ari's lived in Rhode Island for a long time.,320.0,240.0,142.0,30.1913536499,4.70333333333
23,S026,26,SENTENCE,I can't remember... is your boss Native American?,320.0,240.0,94.0,30.3062869425,3.10166666667
24,S027,27,SENTENCE,I'm so relieved that I lost some weight.,320.0,240.0,77.0,30.3747534517,2.535
25,S028,28,SENTENCE,I just won $100 and I'm tickled to death.,320.0,240.0,108.0,30.2521008403,3.57
